Name,Category,Price,Unit,Stock,Barcode,Description,Image
Amul Taaza Toned Milk (1L),Dairy & Eggs,54,packet,45,8901262010052,Fresh pasteurized toned milk rich in calcium and vitamins,🥛
Amul Butter (500g),Dairy & Eggs,275,pack,30,8901262010014,Pasteurized salted butter made from pure milk fat,🧈
Farm Fresh Organic Eggs (12 pcs),Dairy & Eggs,95,tray,20,8901262010099,Nutritious brown farm-fresh eggs rich in omega-3,🥚
Amul Malai Paneer (200g),Dairy & Eggs,90,pack,15,8901262010038,Soft and creamy cottage cheese for delicious dishes,🧀
Fresh Red Tomatoes (1kg),Fresh Produce,40,kg,50,890100000001,Farm fresh juicy red tomatoes sourced daily,🍅
Fresh Potatoes (1kg),Fresh Produce,30,kg,80,890100000002,Premium quality crunchy fresh potatoes,🥔
Fresh Onions (1kg),Fresh Produce,35,kg,65,890100000003,Crisp and flavorful red onions,🧅
Robusta Bananas (1 Dozen),Fresh Produce,60,dozen,25,890100000004,Naturally ripened sweet Robusta bananas,🍌
Shimla Red Apples (1kg),Fresh Produce,180,kg,18,890100000005,Crisp sweet and juicy handpicked Shimla apples,🍎
Fresh Alphonso Mangoes (1kg),Fresh Produce,350,kg,12,890100000006,Aromatic and sweet Devgad Alphonso mangoes,🥭
Modern Whole Wheat Bread (400g),Bakery & Breakfast,45,pack,22,8901262020013,100% whole wheat fiber-rich sandwich bread,🍞
Britannia Maska Chaska (120g),Bakery & Breakfast,30,pack,40,8901063012011,Butter and herb flavored savory biscuits,🍪
Kellogg's Corn Flakes (475g),Bakery & Breakfast,220,pack,15,8901088011013,Crispy high-vitamin corn flakes breakfast cereal,🥣
Quaker Oats Instant Oats (1kg),Bakery & Breakfast,190,pack,25,8901491100015,100% natural wholegrain oats for healthy breakfast,🌾
Maggi 2-Minute Masala Noodles (4-Pack),Instant & Snacks,56,pack,100,8901030865278,India's favorite delicious masala instant noodles,🍜
Haldiram's Nagpur Bhujia (400g),Instant & Snacks,110,pack,35,8904063200018,Crispy and spicy traditional moth flour bhujia,🥨
Lays Spanish Tomato Tango Chips (50g),Instant & Snacks,20,pack,60,8901491001022,Tangy tomato potato chips for snack time,🍟
Act II Microwave Popcorn (33g),Instant & Snacks,35,pack,45,8906010110023,Hot buttery movie-style popcorn ready in 3 mins,🍿
Coca-Cola Original Taste (750ml),Beverages,40,bottle,50,8901764012014,Refreshing carbonated soft drink served chilled,🥤
Tropicana 100% Mixed Fruit Juice (1L),Beverages,145,pack,20,8901491200012,No added sugar 100% natural mixed fruit juice,🧃
Tata Tea Premium (500g),Beverages,260,pack,30,8901052000013,Desh Ki Chai - rich aroma blended black tea leaves,☕
Nescafe Classic Instant Coffee (100g),Beverages,320,jar,15,8901058001014,100% pure instant coffee with rich aroma,☕
Red Bull Energy Drink (250ml),Beverages,125,can,25,9002490100017,Vitalizes body and mind with energy,⚡
Fortune Sunlite Sunflower Oil (1L),Staples & Rice,140,pouch,40,8906007280012,Light and healthy refined sunflower cooking oil,🍾
India Gate Basmati Rice Feast Rozana (5kg),Staples & Rice,420,bag,18,8906001001019,Long grain aromatic Basmati rice for daily meals,🍚
Aashirvaad Shuddh Chakki Atta (5kg),Staples & Rice,245,bag,25,8901058852012,100% pure whole wheat flour with natural fiber,🌾
Tata Salt Vacuum Evaporated (1kg),Staples & Rice,28,pack,90,8901052001010,Purity guaranteed iodized cooking salt,🧂
Madhur Pure & Hygienic Sugar (1kg),Staples & Rice,52,pack,65,8906002001018,Refined sulfurless clean crystal sugar,🍬
Surf Excel Easy Wash Detergent Powder (1kg),Household & Care,140,pack,30,8901030000013,Superior stain removal detergent powder,🧼
Vim Dishwash Gel Lemon (500ml),Household & Care,120,bottle,35,8901030001027,Degreasing dishwashing liquid with real lemon power,🧴
Dettol Bathing Soap (125g x 3),Household & Care,165,pack,28,8901396000014,Germ protection bathing bar for daily hygiene,🧼
Colgate MaxFresh Peppermint Ice Paste (150g),Household & Care,115,pack,40,8901314010108,Cooling crystals toothpaste for long-lasting fresh breath,🪥
Cadbury Dairy Milk Silk (150g),Chocolates & Sweets,175,pack,30,8901233020019,Smooth and creamy melt-in-mouth milk chocolate,🍫
Ferrero Rocher Chocolate Box (16 pcs),Chocolates & Sweets,549,box,12,8000500003014,Whole crunchy hazelnut in delicious creamy filling,🍬
